Time resolution is 1 ps
Memory @ 0x200 = 60
Memory @ 0x201 = 1c
Time=830000 | PC=206 | State=11 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=304 | mem_data_in = xx | mem_data_out = f8 | mem_read = 0 | mem_write = 0
Time=850000 | PC=208 | State= 0 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=304 | mem_data_in = xx | mem_data_out = f8 | mem_read = 0 | mem_write = 0
Time=870000 | PC=208 | State= 1 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=208 | mem_data_in = xx | mem_data_out = f8 | mem_read = 1 | mem_write = 0
Time=890000 | PC=208 | State= 2 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=208 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=910000 | PC=208 | State= 3 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = 00 | mem_read = 1 | mem_write = 0
Time=930000 | PC=208 | State= 4 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=950000 | PC=208 | State= 6 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=970000 | PC=208 | State= 5 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=990000 | PC=20a | State= 0 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=1010000 | PC=20a | State= 1 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20a | mem_data_in = xx | mem_data_out = e0 | mem_read = 1 | mem_write = 0
Time=1030000 | PC=20a | State= 2 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20a | mem_data_in = xx | mem_data_out = a3 | mem_read = 0 | mem_write = 0
Time=1050000 | PC=20a | State= 3 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20b | mem_data_in = xx | mem_data_out = a3 | mem_read = 1 | mem_write = 0
Time=1070000 | PC=20a | State= 4 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20b | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1090000 | PC=20a | State= 6 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20b | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1110000 | PC=20a | State= 5 | Opcode=a305 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20b | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1130000 | PC=20c | State= 0 | Opcode=a305 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20b | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1150000 | PC=20c | State= 1 | Opcode=a305 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20c | mem_data_in = xx | mem_data_out = 05 | mem_read = 1 | mem_write = 0
Time=1170000 | PC=20c | State= 2 | Opcode=a305 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20c | mem_data_in = xx | mem_data_out = d0 | mem_read = 0 | mem_write = 0
Time=1190000 | PC=20c | State= 3 | Opcode=a305 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20d | mem_data_in = xx | mem_data_out = d0 | mem_read = 1 | mem_write = 0
Time=1210000 | PC=20c | State= 4 | Opcode=a305 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20d | mem_data_in = xx | mem_data_out = 15 | mem_read = 0 | mem_write = 0
Time=1230000 | PC=20c | State= 6 | Opcode=a305 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20d | mem_data_in = xx | mem_data_out = 15 | mem_read = 0 | mem_write = 0
Time=1250000 | PC=20c | State= 5 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20d | mem_data_in = xx | mem_data_out = 15 | mem_read = 0 | mem_write = 0
Time=1270000 | PC=20c | State=10 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=305 | mem_data_in = xx | mem_data_out = 15 | mem_read = 1 | mem_write = 0
Time=1290000 | PC=20c | State=11 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=305 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=1310000 | PC=20c | State=12 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=306 | mem_data_in = xx | mem_data_out = 00 | mem_read = 1 | mem_write = 0
Time=1330000 | PC=20c | State=10 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=306 | mem_data_in = xx | mem_data_out = 70 | mem_read = 0 | mem_write = 0
Time=1350000 | PC=20c | State=11 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=306 | mem_data_in = xx | mem_data_out = 70 | mem_read = 0 | mem_write = 0
Time=1370000 | PC=20c | State=12 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=307 | mem_data_in = xx | mem_data_out = 70 | mem_read = 1 | mem_write = 0
Time=1390000 | PC=20c | State=10 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=307 | mem_data_in = xx | mem_data_out = 50 | mem_read = 0 | mem_write = 0
Time=1410000 | PC=20c | State=11 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=307 | mem_data_in = xx | mem_data_out = 50 | mem_read = 0 | mem_write = 0
Time=1430000 | PC=20c | State=12 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=308 | mem_data_in = xx | mem_data_out = 50 | mem_read = 1 | mem_write = 0
Time=1450000 | PC=20c | State=10 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=308 | mem_data_in = xx | mem_data_out = 70 | mem_read = 0 | mem_write = 0
Time=1470000 | PC=20c | State=11 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=308 | mem_data_in = xx | mem_data_out = 70 | mem_read = 0 | mem_write = 0
Time=1490000 | PC=20c | State=12 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=309 | mem_data_in = xx | mem_data_out = 70 | mem_read = 1 | mem_write = 0
Time=1510000 | PC=20c | State=10 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=309 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=1530000 | PC=20c | State=11 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=309 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=1550000 | PC=20e | State= 0 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=309 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=1570000 | PC=20e | State= 1 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20e | mem_data_in = xx | mem_data_out = 00 | mem_read = 1 | mem_write = 0
Time=1590000 | PC=20e | State= 2 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20e | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=1610000 | PC=20e | State= 3 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20f | mem_data_in = xx | mem_data_out = xx | mem_read = 1 | mem_write = 0
Time=1630000 | PC=20e | State= 4 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20f | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=1650000 | PC=20e | State= 6 | Opcode=d015 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20f | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=1670000 | PC=20e | State= 5 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20f | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=1690000 | PC=210 | State= 0 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20f | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=1710000 | PC=210 | State= 1 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=210 | mem_data_in = xx | mem_data_out = xx | mem_read = 1 | mem_write = 0
Time=1730000 | PC=210 | State= 2 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=210 | mem_data_in = xx | mem_data_out = 6a | mem_read = 0 | mem_write = 0
Time=1750000 | PC=210 | State= 3 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=211 | mem_data_in = xx | mem_data_out = 6a | mem_read = 1 | mem_write = 0
Time=1770000 | PC=210 | State= 4 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=211 | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1790000 | PC=210 | State= 6 | Opcode=xxxx | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=211 | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
Time=1810000 | PC=210 | State= 5 | Opcode=6a05 | I_reg=305 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=211 | mem_data_in = xx | mem_data_out = 05 | mem_read = 0 | mem_write = 0
